loss,IoU,MA_IoU,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
0.6638585329055786,"[0.5846155285835266, 0.6612610816955566, 0.5571699142456055, 0.22825288772583008, 0.6175992488861084, 0.4849855601787567]",0.5223140716552734,"[0.9259771108627319, 0.8518196940422058, 0.9568727016448975, 0.9921060800552368, 0.9591712951660156, 0.773191511631012]",0.9098564386367798,"[0.8610115051269531, 0.7530911564826965, 0.6448289752006531, 0.4743160307407379, 0.7425869703292847, 0.6737132668495178]",0.6915913820266724,"[0.6455355286598206, 0.8443083167076111, 0.803867757320404, 0.30554816126823425, 0.7858365178108215, 0.633871853351593]",0.6698280572891235,"[0.7378636598587036, 0.7960948348045349, 0.7156181931495667, 0.37167033553123474, 0.7635992765426636, 0.6531851291656494]",0.6805352568626404
0.6583670377731323,"[0.5836091637611389, 0.6616365313529968, 0.560695469379425, 0.25188061594963074, 0.6222983598709106, 0.4858807623386383]",0.5276668667793274,"[0.9256895780563354, 0.8519982099533081, 0.9573436379432678, 0.9923131465911865, 0.9598080515861511, 0.7738738656044006]",0.9101710319519043,"[0.859136164188385, 0.7532604932785034, 0.6478212475776672, 0.4956188201904297, 0.7463890314102173, 0.6750308871269226]",0.6962094306945801,"[0.6453629732131958, 0.8447073698043823, 0.806540310382843, 0.33870115876197815, 0.7891649007797241, 0.6342343091964722]",0.6764518618583679,"[0.7370616793632507, 0.7963668704032898, 0.7185195684432983, 0.4024030864238739, 0.7671806812286377, 0.6539965271949768]",0.6861879229545593
0.6560215353965759,"[0.5863028168678284, 0.6641386151313782, 0.5594409704208374, 0.24958747625350952, 0.626444399356842, 0.4862750768661499]",0.5286982655525208,"[0.9262652397155762, 0.8533862829208374, 0.957131028175354, 0.9922845363616943, 0.9603868126869202, 0.774031937122345]",0.9105809926986694,"[0.8611637949943542, 0.7553067207336426, 0.6462081074714661, 0.4928598701953888, 0.7500970959663391, 0.6751605868339539]",0.6967993974685669,"[0.6475074291229248, 0.846206784248352, 0.8064453601837158, 0.3358367681503296, 0.7916715145111084, 0.6347914934158325]",0.6770765781402588,"[0.7392062544822693, 0.7981765866279602, 0.7174886465072632, 0.39947131276130676, 0.7703233361244202, 0.6543535590171814]",0.6867959499359131
0.6521489024162292,"[0.5861998200416565, 0.6657223701477051, 0.5583518743515015, 0.24851252138614655, 0.6249198913574219, 0.48791369795799255]",0.5286033153533936,"[0.9262410402297974, 0.8541672229766846, 0.9570146799087524, 0.9922770857810974, 0.9601563215255737, 0.7751040458679199]",0.9108266830444336,"[0.8610487580299377, 0.7561609745025635, 0.6456367373466492, 0.4921215772628784, 0.7484123110771179, 0.6770197153091431]",0.6967333555221558,"[0.6474467515945435, 0.8477033376693726, 0.8050709366798401, 0.3342331051826477, 0.7911121845245361, 0.6359377503395081]",0.6769174337387085,"[0.7391242980957031, 0.7993192672729492, 0.7165923714637756, 0.3980932831764221, 0.7691695690155029, 0.6558355093002319]",0.6866819858551025
0.6488450169563293,"[0.5917395949363708, 0.6662983298301697, 0.5620955228805542, 0.2544001042842865, 0.6279551386833191, 0.48940446972846985]",0.5319822430610657,"[0.9273243546485901, 0.854534387588501, 0.9574537873268127, 0.9922954440116882, 0.9605015516281128, 0.7762359976768494]",0.9113909602165222,"[0.8636732697486877, 0.7568576335906982, 0.6480737924575806, 0.4940459132194519, 0.7497321367263794, 0.6792263388633728]",0.6986016035079956,"[0.6527042984962463, 0.8477616906166077, 0.8090464472770691, 0.3440312445163727, 0.7944952249526978, 0.6365224719047546]",0.6807602643966675,"[0.7435125708580017, 0.7997342348098755, 0.7196680903434753, 0.40561187267303467, 0.7714644074440002, 0.657180905342102]",0.6895650625228882
0.6451731324195862,"[0.5909807682037354, 0.6690199971199036, 0.5647559762001038, 0.2637447714805603, 0.6306952834129333, 0.4933827519416809]",0.5354299545288086,"[0.9271485805511475, 0.856258749961853, 0.9578288793563843, 0.992448627948761, 0.9608538150787354, 0.7780128121376038]",0.9120919108390808,"[0.8628833293914795, 0.7601397037506104, 0.6505869030952454, 0.508436381816864, 0.7516545653343201, 0.681096613407135]",0.7024662494659424,"[0.6522318124771118, 0.8480498790740967, 0.8106338381767273, 0.35401615500450134, 0.7967153787612915, 0.6416000127792358]",0.6838745474815369,"[0.7429132461547852, 0.8016915917396545, 0.7218449115753174, 0.4174014925956726, 0.7735288739204407, 0.6607581377029419]",0.6930451989173889
0.6453165411949158,"[0.5866294503211975, 0.6692622303962708, 0.5662842392921448, 0.26159244775772095, 0.6287338137626648, 0.4902529716491699]",0.5337924957275391,"[0.9263761043548584, 0.8560801148414612, 0.9579789042472839, 0.9924006462097168, 0.9605768918991089, 0.7765182852745056]",0.9116551280021667,"[0.8620485663414001, 0.7588642835617065, 0.6512241363525391, 0.5039122700691223, 0.7498316168785095, 0.6793132424354553]",0.7008657455444336,"[0.6474058032035828, 0.850033700466156, 0.8127914667129517, 0.35232752561569214, 0.795630156993866, 0.6378819346427917]",0.6826784014701843,"[0.7394657135009766, 0.8018654584884644, 0.7230920791625977, 0.4147014915943146, 0.7720518112182617, 0.6579455137252808]",0.6916520595550537
0.6432419419288635,"[0.5875605344772339, 0.6690577268600464, 0.5683293342590332, 0.2590120732784271, 0.6291986107826233, 0.49229753017425537]",0.5342426300048828,"[0.9265116453170776, 0.8561992049217224, 0.958320140838623, 0.992423951625824, 0.9606133699417114, 0.7773175239562988]",0.9118976593017578,"[0.8617638349533081, 0.7597894072532654, 0.6538370847702026, 0.5062156319618225, 0.7497405409812927, 0.6799038052558899]",0.7018750905990601,"[0.6487013101577759, 0.8485469222068787, 0.8129353523254395, 0.34657466411590576, 0.7964773178100586, 0.6408220529556274]",0.6823429465293884,"[0.7402050495147705, 0.8017186522483826, 0.724757194519043, 0.41145241260528564, 0.7724021077156067, 0.659784197807312]",0.6919707655906677
0.6401367783546448,"[0.5925610661506653, 0.6709886193275452, 0.5652748346328735, 0.267882764339447, 0.6341239809989929, 0.49408116936683655]",0.5374854207038879,"[0.9275259971618652, 0.8573166728019714, 0.9577949047088623, 0.9924718141555786, 0.9612044095993042, 0.7786194682121277]",0.9124888777732849,"[0.8647110462188721, 0.7616427540779114, 0.6497550010681152, 0.5104604959487915, 0.7524341940879822, 0.6823857426643372]",0.7035648822784424,"[0.653110682964325, 0.8493385314941406, 0.8130019903182983, 0.360495388507843, 0.8013084530830383, 0.6416375637054443]",0.6864821314811707,"[0.7441607117652893, 0.8031032681465149, 0.7222687005996704, 0.42256662249565125, 0.7761021256446838, 0.6613841652870178]",0.6949180364608765
0.6391739845275879,"[0.5902674198150635, 0.6712983250617981, 0.5703235864639282, 0.2687118947505951, 0.6350070834159851, 0.49496161937713623]",0.5384283661842346,"[0.9269735217094421, 0.8574097752571106, 0.9585056900978088, 0.9924104809761047, 0.9614136219024658, 0.7790961265563965]",0.9126348495483398,"[0.8619912266731262, 0.7615299820899963, 0.6545412540435791, 0.5046698451042175, 0.7548116445541382, 0.6830723285675049]",0.7034360766410828,"[0.6518723964691162, 0.8499752879142761, 0.8159249424934387, 0.3649682402610779, 0.8000309467315674, 0.6425145268440247]",0.6875476837158203,"[0.7423495054244995, 0.8033250570297241, 0.7263767123222351, 0.4235974848270416, 0.7767632603645325, 0.6621725559234619]",0.6954006552696228
